Date,Close,Position
2022-05-31,146.1820526123047,0
2022-06-01,146.0543670654297,0
2022-06-02,148.5097198486328,0
2022-06-03,142.78384399414062,0
2022-06-06,143.53024291992188,0
2022-06-07,146.0543670654297,0
2022-06-08,145.3177947998047,0
2022-06-09,140.0927734375,0
2022-06-10,134.68118286132812,0
2022-06-13,129.52491760253906,0
2022-06-14,130.38919067382812,0
2022-06-15,133.01150512695312,0
2022-06-16,127.7374038696289,0
2022-06-17,129.21063232421875,0
2022-06-21,133.4436492919922,0
2022-06-22,132.9329833984375,0
2022-06-23,135.80079650878906,0
2022-06-24,139.13026428222656,0
2022-06-27,139.13026428222656,0
2022-06-28,134.9856414794922,0
2022-06-29,136.74363708496094,0
2022-06-30,134.27847290039062,0
2022-07-01,136.4490203857422,0
2022-07-05,139.03204345703125,0
2022-07-06,140.36776733398438,0
2022-07-07,143.73651123046875,0
2022-07-08,144.4141845703125,0
2022-07-11,142.28294372558594,0
2022-07-12,143.2552490234375,0
2022-07-13,142.8918914794922,0
2022-07-14,145.81866455078125,0
2022-07-15,147.48831176757812,0
2022-07-18,144.4436798095703,0
2022-07-19,148.30349731445312,0
2022-07-20,150.30703735351562,2
2022-07-21,152.57579040527344,0
2022-07-22,151.33827209472656,0
2022-07-25,150.21865844726562,0
2022-07-26,148.89276123046875,0
2022-07-27,153.99008178710938,0
2022-07-28,154.5400848388672,0
2022-07-29,159.60792541503906,0
2022-08-01,158.6257781982422,0
2022-08-02,157.15260314941406,0
2022-08-03,163.1632843017578,0
2022-08-04,162.84898376464844,0
2022-08-05,162.62278747558594,0
2022-08-08,162.1506805419922,0
2022-08-09,162.19989013671875,0
2022-08-10,166.4486541748047,0
2022-08-11,165.71099853515625,0
2022-08-12,169.26145935058594,0
2022-08-15,170.33348083496094,0
2022-08-16,170.17613220214844,0
2022-08-17,171.67105102539062,0
2022-08-18,171.27761840820312,0
2022-08-19,168.6910400390625,0
2022-08-22,164.80618286132812,0
2022-08-23,164.47178649902344,0
2022-08-24,164.76683044433594,0
2022-08-25,167.22560119628906,0
2022-08-26,160.9213409423828,0
2022-08-29,158.71826171875,0
2022-08-30,156.2890167236328,0
2022-08-31,154.6268768310547,0
2022-09-01,155.35467529296875,0
2022-09-02,153.24014282226562,0
2022-09-06,151.98126220703125,0
2022-09-07,153.38766479492188,0
2022-09-08,151.9123992919922,0
2022-09-09,154.77439880371094,0
2022-09-12,160.73446655273438,0
2022-09-13,151.30262756347656,0
2022-09-14,152.74844360351562,0
2022-09-15,149.85687255859375,0
2022-09-16,148.2144317626953,0
2022-09-19,151.93206787109375,-2
2022-09-20,154.3121795654297,0
2022-09-21,151.1846160888672,0
2022-09-22,150.2207794189453,0
2022-09-23,147.94886779785156,0
2022-09-26,148.28329467773438,0
2022-09-27,149.25692749023438,0
2022-09-28,147.3685760498047,0
2022-09-29,140.12998962402344,0
2022-09-30,135.9206085205078,0
2022-10-03,140.10049438476562,0
2022-10-04,143.69029235839844,0
2022-10-05,143.98533630371094,0
2022-10-06,143.03134155273438,0
2022-10-07,137.77943420410156,0
2022-10-10,138.10397338867188,0
2022-10-11,136.68772888183594,0
2022-10-12,136.0583038330078,0
2022-10-13,140.63157653808594,0
2022-10-14,136.09759521484375,0
2022-10-17,140.06112670898438,0
2022-10-18,141.37905883789062,0
2022-10-19,141.4872283935547,0
2022-10-20,141.02500915527344,0
2022-10-21,144.8409881591797,0
2022-10-24,146.9850311279297,0
2022-10-25,149.82736206054688,0
2022-10-26,146.88670349121094,0
2022-10-27,142.4117431640625,0
2022-10-28,153.1713104248047,0
2022-10-31,150.81088256835938,0
2022-11-01,148.1652374267578,0
2022-11-02,142.637939453125,0
2022-11-03,136.5894012451172,0
2022-11-04,136.32337951660156,0
2022-11-07,136.85537719726562,0
2022-11-08,137.4267578125,0
2022-11-09,132.8655548095703,0
2022-11-10,144.6872100830078,0
2022-11-11,147.47515869140625,0
2022-11-14,146.0762481689453,0
2022-11-15,147.8101348876953,0
2022-11-16,146.57867431640625,0
2022-11-17,148.47998046875,0
2022-11-18,149.04153442382812,0
